stock_code,company_name,年度,股本_億,財報_評分,年度股價_元_收盤,年度股價_元_平均,年度股價_元_漲跌,年度股價_元_漲跌_pct,獲利金額_億_營業_收入,獲利金額_億_營業_毛利,獲利金額_億_營業_利益,獲利金額_億_業外_損益,獲利金額_億_稅後_淨利,獲利率_pct_營業_毛利,獲利率_pct_營業_利益,獲利率_pct_業外_損益,獲利率_pct_稅後_淨利,roe_pct,roa_pct,eps_元_稅後_eps,eps_元_年增_元,bps_元,file_type,source_file,download_success,download_timestamp,process_timestamp,stage1_process_timestamp,data_quality_score,cleaned_date,comprehensive_validation_score
2301,光寶科,,232.0,45,,,,,434.0,94.0,41.0,8.71,37.8,21.7,9.44,2.01,8.7,16.9,7.25,1.66,0.15,38.83,StockBzPerformance,StockBzPerformance_2301_光寶科.xls,True,2026-06-13 21:37:19 CST,2026-06-13 21:37:12 CST,2026-06-17 19:29:24 CST,7.6,2026-06-17 22:07:58.307883,4.0
2301,光寶科,,232.0,51,,,,,1661.0,380.0,167.0,29.8,151.0,22.9,10.1,1.79,9.1,16.7,7.36,6.64,1.43,39.57,StockBzPerformance,StockBzPerformance_2301_光寶科.xls,True,2026-06-13 21:37:19 CST,2026-06-13 21:37:12 CST,2026-06-17 19:29:24 CST,7.6,2026-06-17 22:07:58.307883,4.0
2301,光寶科,,235.0,51,,,,,1371.0,296.0,129.0,27.0,119.0,21.6,9.43,1.97,8.72,13.6,6.08,5.21,-1.15,39.46,StockBzPerformance,StockBzPerformance_2301_光寶科.xls,True,2026-06-13 21:37:19 CST,2026-06-13 21:37:12 CST,2026-06-17 19:29:24 CST,7.6,2026-06-17 22:07:58.307883,4.0
2301,光寶科,,235.0,51,,,,,1483.0,327.0,145.0,38.5,146.0,22.0,9.79,2.6,9.84,17.5,7.51,6.36,0.17,36.59,StockBzPerformance,StockBzPerformance_2301_光寶科.xls,True,2026-06-13 21:37:19 CST,2026-06-13 21:37:12 CST,2026-06-17 19:29:24 CST,7.6,2026-06-17 22:07:58.307883,4.0
2301,光寶科,,236.0,47,,,,,1735.0,333.0,151.0,27.7,142.0,19.2,8.69,1.6,8.18,18.3,7.4,6.19,0.18,35.36,StockBzPerformance,StockBzPerformance_2301_光寶科.xls,True,2026-06-13 21:37:19 CST,2026-06-13 21:37:12 CST,2026-06-17 19:29:24 CST,7.6,2026-06-17 22:07:58.307883,4.0
2301,光寶科,,235.0,47,,,,,1648.0,305.0,130.0,45.9,139.0,18.5,7.91,2.78,8.45,18.9,7.75,6.01,1.7,31.68,StockBzPerformance,StockBzPerformance_2301_光寶科.xls,True,2026-06-13 21:37:19 CST,2026-06-13 21:37:12 CST,2026-06-17 19:29:24 CST,7.6,2026-06-17 22:07:58.307883,4.0
2301,光寶科,,235.0,47,,,,,1571.0,274.0,102.0,24.0,100.0,17.4,6.5,1.52,6.26,13.2,5.42,4.31,0.28,31.67,StockBzPerformance,StockBzPerformance_2301_光寶科.xls,True,2026-06-13 21:37:19 CST,2026-06-13 21:37:12 CST,2026-06-17 19:29:24 CST,7.6,2026-06-17 22:07:58.307883,4.0
2301,光寶科,,235.0,45,,,,,1780.0,273.0,93.5,30.2,93.7,15.4,5.25,1.7,5.29,12.6,4.9,4.03,0.61,31.18,StockBzPerformance,StockBzPerformance_2301_光寶科.xls,True,2026-06-13 21:37:19 CST,2026-06-13 21:37:12 CST,2026-06-17 19:29:24 CST,7.6,2026-06-17 22:07:58.307883,4.0
2301,光寶科,,235.0,45,,,,,2071.0,271.0,74.9,33.0,79.6,13.1,3.61,1.59,3.85,10.7,4.12,3.42,2.29,30.69,StockBzPerformance,StockBzPerformance_2301_光寶科.xls,True,2026-06-13 21:37:19 CST,2026-06-13 21:37:12 CST,2026-06-17 19:29:24 CST,7.6,2026-06-17 22:07:58.307883,4.0
2301,光寶科,,235.0,40,,,,,2146.0,277.0,83.4,-49.7,26.3,12.9,3.89,-2.32,1.23,3.44,1.31,1.13,-2.92,30.34,StockBzPerformance,StockBzPerformance_2301_光寶科.xls,True,2026-06-13 21:37:19 CST,2026-06-13 21:37:12 CST,2026-06-17 19:29:24 CST,7.6,2026-06-17 22:07:58.307883,4.0
