price,weight,trust_level
45.0,9.173744577393882e-07,極高 (Very High)
50.0,1.3664551906567307e-06,極高 (Very High)
55.0,5.531598237048428e-06,極高 (Very High)
60.0,6.02631627821392e-06,極高 (Very High)
65.0,2.8844753765458154e-06,極高 (Very High)
70.0,1.0920077202226251e-05,極高 (Very High)
75.0,7.83461047756704e-06,極高 (Very High)
80.0,1.327555292333605e-05,極高 (Very High)
85.0,4.362835767931479e-06,極高 (Very High)
90.0,9.925462814218384e-06,極高 (Very High)
95.0,0.0005901458729459023,極高 (Very High)
100.0,0.0007519180155053023,極高 (Very High)
105.0,0.00904863410539544,極高 (Very High)
110.0,0.07541657653119807,極高 (Very High)
115.0,0.06334205273275006,極高 (Very High)
120.0,0.06685850693740487,極高 (Very High)
125.0,0.0814108008385827,極高 (Very High)
130.0,0.11711287110955543,極高 (Very High)
135.0,0.05945942937111492,極高 (Very High)
140.0,0.13475578159040733,極高 (Very High)
145.0,0.1392932561590293,極高 (Very High)
150.0,0.12400250033649679,極高 (Very High)
155.0,0.08410397309380281,極高 (Very High)
160.0,0.04379050854708556,極高 (Very High)
