price,weight,trust_level,data_as_of,staleness_days
158.0,3.0462351308035746e-07,極高 (Very High),2026-07-14,1
159.0,4.812239109526354e-07,極高 (Very High),2026-07-14,1
160.0,5.164186623063786e-07,極高 (Very High),2026-07-14,1
162.0,0.00017899509896682778,極高 (Very High),2026-07-14,1
163.0,2.869848044950036e-07,極高 (Very High),2026-07-14,1
164.0,0.0001157024096025946,極高 (Very High),2026-07-14,1
165.0,5.425463916862217e-07,極高 (Very High),2026-07-14,1
166.0,0.0005756670477468062,極高 (Very High),2026-07-14,1
167.0,7.340089871200035e-07,極高 (Very High),2026-07-14,1
168.0,0.0002726196492619622,極高 (Very High),2026-07-14,1
169.0,0.00013847117320029618,極高 (Very High),2026-07-14,1
171.0,7.911483754583944e-07,極高 (Very High),2026-07-14,1
172.0,8.303536269427416e-07,極高 (Very High),2026-07-14,1
173.0,1.1985214251641554e-06,極高 (Very High),2026-07-14,1
174.0,0.0007412214801904166,極高 (Very High),2026-07-14,1
175.0,0.0007877200910607185,極高 (Very High),2026-07-14,1
176.0,0.001822261130819085,極高 (Very High),2026-07-14,1
177.0,0.001570446514346064,極高 (Very High),2026-07-14,1
178.0,0.0034267917782627943,極高 (Very High),2026-07-14,1
179.0,0.002866200562280469,極高 (Very High),2026-07-14,1
180.0,0.005156427469783116,極高 (Very High),2026-07-14,1
181.0,0.0024657409813286448,極高 (Very High),2026-07-14,1
182.0,0.0044465485021101215,極高 (Very High),2026-07-14,1
183.0,0.003056500141215449,極高 (Very High),2026-07-14,1
184.0,0.0039155856424776024,極高 (Very High),2026-07-14,1
185.0,0.0014605095391682307,極高 (Very High),2026-07-14,1
186.0,0.0017261590088137454,極高 (Very High),2026-07-14,1
187.0,0.002884149360838661,極高 (Very High),2026-07-14,1
188.0,0.0025056822843000605,極高 (Very High),2026-07-14,1
189.0,0.003463753173281409,極高 (Very High),2026-07-14,1
190.0,0.0060844858055174944,極高 (Very High),2026-07-14,1
191.0,0.0029424027540406986,極高 (Very High),2026-07-14,1
192.0,0.005725994181405767,極高 (Very High),2026-07-14,1
193.0,0.003493022703211422,極高 (Very High),2026-07-14,1
194.0,0.006272336944847667,極高 (Very High),2026-07-14,1
195.0,0.0030292255526803416,極高 (Very High),2026-07-14,1
196.0,0.006464208163644134,極高 (Very High),2026-07-14,1
197.0,0.0027171688787136807,極高 (Very High),2026-07-14,1
198.0,0.0034231957171838687,極高 (Very High),2026-07-14,1
199.0,0.0024543600650046376,極高 (Very High),2026-07-14,1
200.0,0.003990634977939559,極高 (Very High),2026-07-14,1
201.0,0.004561386765765038,極高 (Very High),2026-07-14,1
202.0,0.004810422250444077,極高 (Very High),2026-07-14,1
203.0,0.004525593342962589,極高 (Very High),2026-07-14,1
204.0,0.003433238933363228,極高 (Very High),2026-07-14,1
205.0,0.0019107125251104922,極高 (Very High),2026-07-14,1
206.0,0.0038165827093637455,極高 (Very High),2026-07-14,1
207.0,0.0034255186879699863,極高 (Very High),2026-07-14,1
208.0,0.003178277358717596,極高 (Very High),2026-07-14,1
209.0,0.004541530040625599,極高 (Very High),2026-07-14,1
210.0,0.008149149669405968,極高 (Very High),2026-07-14,1
211.0,0.003990584684580429,極高 (Very High),2026-07-14,1
212.0,0.003625396530364875,極高 (Very High),2026-07-14,1
213.0,0.0028140628344798017,極高 (Very High),2026-07-14,1
214.0,0.00440000441464457,極高 (Very High),2026-07-14,1
215.0,0.006071390337194568,極高 (Very High),2026-07-14,1
216.0,0.0040860031854803875,極高 (Very High),2026-07-14,1
217.0,0.005468675905592231,極高 (Very High),2026-07-14,1
218.0,0.003801875548011963,極高 (Very High),2026-07-14,1
219.0,0.004942548690483081,極高 (Very High),2026-07-14,1
220.0,0.0034070397792735746,極高 (Very High),2026-07-14,1
221.0,0.0011396136630848902,極高 (Very High),2026-07-14,1
222.0,0.004972509120365965,極高 (Very High),2026-07-14,1
223.0,0.0014661274974418154,極高 (Very High),2026-07-14,1
224.0,0.0027560066461840347,極高 (Very High),2026-07-14,1
225.0,0.0016098415614234178,極高 (Very High),2026-07-14,1
226.0,0.0009057966413625758,極高 (Very High),2026-07-14,1
227.0,0.005190002561852315,極高 (Very High),2026-07-14,1
228.0,0.0016667398143277177,極高 (Very High),2026-07-14,1
229.0,0.0010440173930489711,極高 (Very High),2026-07-14,1
230.0,0.003167549656937442,極高 (Very High),2026-07-14,1
231.0,0.004460982008557727,極高 (Very High),2026-07-14,1
232.0,0.00803630521508457,極高 (Very High),2026-07-14,1
233.0,0.005233938024563685,極高 (Very High),2026-07-14,1
234.0,0.0014875443069267975,極高 (Very High),2026-07-14,1
235.0,0.00018430942708675852,極高 (Very High),2026-07-14,1
236.0,0.002156475670820362,極高 (Very High),2026-07-14,1
237.0,0.000157303210003947,極高 (Very High),2026-07-14,1
238.0,0.002707468663211175,極高 (Very High),2026-07-14,1
239.0,0.0001412346054642699,極高 (Very High),2026-07-14,1
240.0,0.0026540769126157226,極高 (Very High),2026-07-14,1
241.0,0.00043380421724880226,極高 (Very High),2026-07-14,1
242.0,0.00012477690708565417,極高 (Very High),2026-07-14,1
243.0,4.7653123326357846e-05,極高 (Very High),2026-07-14,1
244.0,3.3366738766734594e-05,極高 (Very High),2026-07-14,1
245.0,6.64424079061233e-05,極高 (Very High),2026-07-14,1
246.0,0.0001427796775848596,極高 (Very High),2026-07-14,1
247.0,0.00016118802799736,極高 (Very High),2026-07-14,1
248.0,0.00029340123798821783,極高 (Very High),2026-07-14,1
249.0,0.0003943558609949231,極高 (Very High),2026-07-14,1
250.0,0.00042123787131852144,極高 (Very High),2026-07-14,1
251.0,5.0768457906315424e-05,極高 (Very High),2026-07-14,1
252.0,0.0003363080403590663,極高 (Very High),2026-07-14,1
253.0,7.619072767981797e-05,極高 (Very High),2026-07-14,1
254.0,0.003704204495298919,極高 (Very High),2026-07-14,1
255.0,0.00032347408283332687,極高 (Very High),2026-07-14,1
256.0,0.00015841900417779567,極高 (Very High),2026-07-14,1
257.0,0.0001159829799962582,極高 (Very High),2026-07-14,1
258.0,0.0022754375839739004,極高 (Very High),2026-07-14,1
259.0,7.229143028310802e-05,極高 (Very High),2026-07-14,1
260.0,0.003211611586527142,極高 (Very High),2026-07-14,1
261.0,0.0001555271418214198,極高 (Very High),2026-07-14,1
262.0,0.00031516030720131754,極高 (Very High),2026-07-14,1
263.0,0.00017076221492097265,極高 (Very High),2026-07-14,1
264.0,0.005632396010032836,極高 (Very High),2026-07-14,1
265.0,0.0009353702317412392,極高 (Very High),2026-07-14,1
266.0,0.0002099218649815257,極高 (Very High),2026-07-14,1
267.0,0.0029022445557494734,極高 (Very High),2026-07-14,1
268.0,6.535852803040147e-05,極高 (Very High),2026-07-14,1
269.0,0.0011877397813722548,極高 (Very High),2026-07-14,1
270.0,0.0008196785442175139,極高 (Very High),2026-07-14,1
271.0,0.014319731400660387,極高 (Very High),2026-07-14,1
272.0,0.008759770901518967,極高 (Very High),2026-07-14,1
273.0,0.013846959352239702,極高 (Very High),2026-07-14,1
274.0,0.007668667864462526,極高 (Very High),2026-07-14,1
275.0,0.005459669122568509,極高 (Very High),2026-07-14,1
276.0,0.0021824462115126978,極高 (Very High),2026-07-14,1
277.0,0.010473340130788196,極高 (Very High),2026-07-14,1
278.0,0.004971844921397619,極高 (Very High),2026-07-14,1
279.0,0.00026509729930451975,極高 (Very High),2026-07-14,1
280.0,0.005524953600565349,極高 (Very High),2026-07-14,1
281.0,0.00909271422613107,極高 (Very High),2026-07-14,1
282.0,0.008583026317997986,極高 (Very High),2026-07-14,1
283.0,0.002408334865379754,極高 (Very High),2026-07-14,1
284.0,0.0016924920572731364,極高 (Very High),2026-07-14,1
285.0,0.010881895518940945,極高 (Very High),2026-07-14,1
286.0,0.0070547518426069345,極高 (Very High),2026-07-14,1
287.0,0.007401392614900074,極高 (Very High),2026-07-14,1
288.0,0.001981053703903257,極高 (Very High),2026-07-14,1
289.0,0.007028582731767324,極高 (Very High),2026-07-14,1
290.0,0.015088541291318825,極高 (Very High),2026-07-14,1
291.0,0.007792888619125865,極高 (Very High),2026-07-14,1
292.0,0.004867130765040533,極高 (Very High),2026-07-14,1
293.0,0.006087552692062421,極高 (Very High),2026-07-14,1
294.0,0.016600280128062424,極高 (Very High),2026-07-14,1
295.0,0.002980144189687564,極高 (Very High),2026-07-14,1
296.0,0.010749190346617088,極高 (Very High),2026-07-14,1
297.0,0.004253580887679746,極高 (Very High),2026-07-14,1
298.0,0.009511948059261786,極高 (Very High),2026-07-14,1
299.0,0.0027049511477749287,極高 (Very High),2026-07-14,1
300.0,0.013922050514175862,極高 (Very High),2026-07-14,1
301.0,0.023965708064136306,極高 (Very High),2026-07-14,1
302.0,0.03066269970868914,極高 (Very High),2026-07-14,1
303.0,0.01032665908871416,極高 (Very High),2026-07-14,1
304.0,0.015171410031046453,極高 (Very High),2026-07-14,1
305.0,0.00614604845946641,極高 (Very High),2026-07-14,1
306.0,0.0011653778501609362,極高 (Very High),2026-07-14,1
307.0,0.007582724351818127,極高 (Very High),2026-07-14,1
308.0,0.00590322099828188,極高 (Very High),2026-07-14,1
309.0,0.003963403148198396,極高 (Very High),2026-07-14,1
310.0,0.011637801015594234,極高 (Very High),2026-07-14,1
311.0,0.002062265657551227,極高 (Very High),2026-07-14,1
312.0,0.004737269684760057,極高 (Very High),2026-07-14,1
313.0,0.012942352724043609,極高 (Very High),2026-07-14,1
314.0,0.007337272446854731,極高 (Very High),2026-07-14,1
315.0,0.005716012457240278,極高 (Very High),2026-07-14,1
316.0,0.0018281481916821998,極高 (Very High),2026-07-14,1
317.0,0.002428537607325776,極高 (Very High),2026-07-14,1
318.0,0.006101832450057956,極高 (Very High),2026-07-14,1
319.0,0.02998219841872307,極高 (Very High),2026-07-14,1
320.0,0.016628857848277265,極高 (Very High),2026-07-14,1
321.0,0.017568981210806116,極高 (Very High),2026-07-14,1
322.0,0.0029692462335543907,極高 (Very High),2026-07-14,1
324.0,0.005792443687969273,極高 (Very High),2026-07-14,1
325.0,0.012187736647147543,極高 (Very High),2026-07-14,1
326.0,0.008848450959215493,極高 (Very High),2026-07-14,1
327.0,0.012238150062074824,極高 (Very High),2026-07-14,1
328.0,0.008140921174413207,極高 (Very High),2026-07-14,1
329.0,0.001619384021043381,極高 (Very High),2026-07-14,1
332.0,0.030016782783697345,極高 (Very High),2026-07-14,1
333.0,0.008958185660386418,極高 (Very High),2026-07-14,1
334.0,0.010382553279546841,極高 (Very High),2026-07-14,1
335.0,0.004956625669748612,極高 (Very High),2026-07-14,1
336.0,0.008049930431851616,極高 (Very High),2026-07-14,1
338.0,0.004935182004432121,極高 (Very High),2026-07-14,1
340.0,0.006406839512591148,極高 (Very High),2026-07-14,1
341.0,0.03294516035522764,極高 (Very High),2026-07-14,1
342.0,0.019061376470622227,極高 (Very High),2026-07-14,1
345.0,0.01828285581017059,極高 (Very High),2026-07-14,1
347.0,0.002679049287100829,極高 (Very High),2026-07-14,1
348.0,0.0012086019935133958,極高 (Very High),2026-07-14,1
349.0,0.0029951167120592093,極高 (Very High),2026-07-14,1
350.0,0.008379660651065468,極高 (Very High),2026-07-14,1
352.0,0.004045215589880814,極高 (Very High),2026-07-14,1
353.0,0.043088203440095375,極高 (Very High),2026-07-14,1
354.0,0.007363782877332319,極高 (Very High),2026-07-14,1
360.0,0.005082896851200224,極高 (Very High),2026-07-14,1
363.0,0.0067513279818168246,極高 (Very High),2026-07-14,1
364.0,0.002599200141474119,極高 (Very High),2026-07-14,1
366.0,0.020885789926152736,極高 (Very High),2026-07-14,1
